Gmt time,Open,High,Low,Close,Volume
01.01.2024 00:00:00.000,42448,42448,42448,42448,0
01.01.2024 01:00:00.000,42448,42448,42448,42448,0
01.01.2024 02:00:00.000,42448,42448,42448,42448,0
01.01.2024 03:00:00.000,42448,42448,42448,42448,0
01.01.2024 04:00:00.000,42448,42448,42448,42448,0
01.01.2024 05:00:00.000,42448,42448,42448,42448,0
01.01.2024 06:00:00.000,42448,42448,42448,42448,0
01.01.2024 07:00:00.000,42448,42448,42448,42448,0
01.01.2024 08:00:00.000,42448,42448,42448,42448,0
01.01.2024 09:00:00.000,42448,42448,42448,42448,0
01.01.2024 10:00:00.000,42448,42448,42448,42448,0
01.01.2024 11:00:00.000,42448,42448,42448,42448,0
01.01.2024 12:00:00.000,42448,42448,42448,42448,0
01.01.2024 13:00:00.000,42448,42448,42448,42448,0
01.01.2024 14:00:00.000,42448,42448,42448,42448,0
01.01.2024 15:00:00.000,42448,42448,42448,42448,0
01.01.2024 16:00:00.000,42448,42448,42448,42448,0
01.01.2024 17:00:00.000,42448,42448,42448,42448,0
01.01.2024 18:00:00.000,42448,42448,42448,42448,0
01.01.2024 19:00:00.000,42448,42448,42448,42448,0
01.01.2024 20:00:00.000,42448,42448,42448,42448,0
01.01.2024 21:00:00.000,43712,43751,43452,43583,0
01.01.2024 22:00:00.000,43540,43540,43426,43490,0
01.01.2024 23:00:00.000,43490,44154,43490,44146,0.01
02.01.2024 00:00:00.000,44146,45174,44118,45059,0.03
02.01.2024 01:00:00.000,45047,45346,44673,44828,0.03
02.01.2024 02:00:00.000,44828,45376,44828,45375,0.01
02.01.2024 03:00:00.000,45375,45463,45116,45379,0.02
02.01.2024 04:00:00.000,45377,45446,45141,45168,0.01
02.01.2024 05:00:00.000,45165,45315,45098,45162,0.01
02.01.2024 06:00:00.000,45164,45298,45099,45149,0.01
02.01.2024 07:00:00.000,45153,45592,45135,45424,0.02
02.01.2024 08:00:00.000,45424,45841,45307,45743,0.02
02.01.2024 09:00:00.000,45743,45865,45606,45683,0.02
02.01.2024 10:00:00.000,45683,45684,45426,45560,0.01
02.01.2024 11:00:00.000,45562,45679,45184,45419,0.02
02.01.2024 12:00:00.000,45419,45564,45245,45299,0.02
02.01.2024 13:00:00.000,45299,45686,45244,45620,0.02
02.01.2024 14:00:00.000,45618,45800,45036,45261,0.03
02.01.2024 15:00:00.000,45254,45309,44808,45192,0.03
02.01.2024 16:00:00.000,45192,45390,44884,45358,0.03
02.01.2024 17:00:00.000,45348,45377,44933,44938,0.03
02.01.2024 18:00:00.000,44939,45232,44920,45130,0.02
02.01.2024 19:00:00.000,45131,45208,44760,45019,0.03
02.01.2024 20:00:00.000,45019,45139,44739,44763,0.02
02.01.2024 21:00:00.000,44763,45082,44596,45082,0.02
02.01.2024 22:00:00.000,45088,45266,44827,44956,0.01
02.01.2024 23:00:00.000,44956,45021,44767,44916,0.01
03.01.2024 00:00:00.000,44918,45176,44833,45108,0.01
03.01.2024 01:00:00.000,45104,45295,45075,45281,0.01
03.01.2024 02:00:00.000,45281,45375,45183,45250,0.01
03.01.2024 03:00:00.000,45255,45289,45138,45242,0
03.01.2024 04:00:00.000,45242,45253,45094,45150,0
03.01.2024 05:00:00.000,45150,45265,45094,45158,0
03.01.2024 06:00:00.000,45158,45337,45133,45291,0
03.01.2024 07:00:00.000,45291,45349,44913,44979,0.01
03.01.2024 08:00:00.000,44991,45164,44972,45164,0.01
03.01.2024 09:00:00.000,45164,45468,45145,45309,0.01
03.01.2024 10:00:00.000,45309,45357,45014,45116,0.01
03.01.2024 11:00:00.000,45116,45151,43475,43661,0.03
03.01.2024 12:00:00.000,43661,43680,40834,42763,0.13
03.01.2024 13:00:00.000,42763,42800,42279,42517,0.07
03.01.2024 14:00:00.000,42517,42517,42010,42167,0.06
03.01.2024 15:00:00.000,42168,42988,42159,42960,0.07
03.01.2024 16:00:00.000,42959,43533,42772,42978,0.05
03.01.2024 17:00:00.000,42978,43020,42594,42896,0.03
03.01.2024 18:00:00.000,42896,43020,41982,42218,0.03
03.01.2024 19:00:00.000,42218,42972,42133,42560,0.03
03.01.2024 20:00:00.000,42560,42821,42498,42672,0.02
03.01.2024 21:00:00.000,42672,42933,42554,42883,0.02
03.01.2024 22:00:00.000,42899,42927,42591,42713,0.01
03.01.2024 23:00:00.000,42713,42813,42568,42809,0.01
04.01.2024 00:00:00.000,42809,42945,42728,42846,0.01
04.01.2024 01:00:00.000,42853,42900,42594,42681,0.01
04.01.2024 02:00:00.000,42681,43188,42654,43117,0.01
04.01.2024 03:00:00.000,43117,43201,42984,43085,0.01
04.01.2024 04:00:00.000,43085,43193,42934,43115,0.01
04.01.2024 05:00:00.000,43115,43248,43054,43147,0.01
04.01.2024 06:00:00.000,43147,43221,43058,43123,0.01
04.01.2024 07:00:00.000,43142,43245,42744,42744,0.02
04.01.2024 08:00:00.000,42744,42960,42693,42843,0.02
04.01.2024 09:00:00.000,42843,43049,42827,42995,0.02
04.01.2024 10:00:00.000,42994,43065,42652,43045,0.02
04.01.2024 11:00:00.000,43044,43227,42914,43163,0.01
04.01.2024 12:00:00.000,43163,43390,43081,43367,0.01
04.01.2024 13:00:00.000,43364,43478,43167,43338,0.01
04.01.2024 14:00:00.000,43338,43722,43236,43661,0.02
04.01.2024 15:00:00.000,43665,44303,43586,44035,0.03
04.01.2024 16:00:00.000,44037,44124,43757,43899,0.02
04.01.2024 17:00:00.000,43899,44206,43805,43971,0.01
04.01.2024 18:00:00.000,43971,44126,43871,44040,0.01
04.01.2024 19:00:00.000,44040,44424,43902,43960,0.02
04.01.2024 20:00:00.000,43960,44678,43876,44134,0.05
04.01.2024 21:00:00.000,44134,44538,44091,44427,0.02
04.01.2024 22:00:00.000,44427,44751,44169,44328,0.01
04.01.2024 23:00:00.000,44328,44352,44046,44114,0.01
05.01.2024 00:00:00.000,44114,44239,43966,44194,0.01
05.01.2024 01:00:00.000,44194,44261,42731,43365,0.03
05.01.2024 02:00:00.000,43367,43926,43280,43491,0.1
05.01.2024 03:00:00.000,43489,43728,43387,43454,0.08
05.01.2024 04:00:00.000,43458,43610,43201,43575,0.08
05.01.2024 05:00:00.000,43575,43689,43491,43639,0.07
05.01.2024 06:00:00.000,43639,43888,43552,43816,0.08
05.01.2024 07:00:00.000,43816,43887,43697,43753,0.07
05.01.2024 08:00:00.000,43753,43934,43739,43902,0.07
05.01.2024 09:00:00.000,43902,44277,43891,44133,0.02
05.01.2024 10:00:00.000,44133,44137,43489,43615,0.02
05.01.2024 11:00:00.000,43615,43889,43576,43747,0.02
05.01.2024 12:00:00.000,43749,44085,43624,43872,0.02
05.01.2024 13:00:00.000,43872,44052,43719,43986,0.02
05.01.2024 14:00:00.000,43986,44049,43215,43475,0.03
05.01.2024 15:00:00.000,43475,43791,43341,43475,0.03
05.01.2024 16:00:00.000,43475,43582,43198,43204,0.03
05.01.2024 17:00:00.000,43204,43607,43072,43590,0.09
05.01.2024 18:00:00.000,43590,43660,43389,43576,0.07
05.01.2024 19:00:00.000,43576,43773,43491,43571,0.07
05.01.2024 20:00:00.000,43571,44298,43566,43947,0.07
05.01.2024 21:00:00.000,43947,43947,43571,43909,0.04
05.01.2024 22:00:00.000,43907,44023,43737,43945,0.01
05.01.2024 23:00:00.000,43946,44292,43946,44125,0.02
06.01.2024 00:00:00.000,44123,44196,43951,44043,0.02
06.01.2024 01:00:00.000,44046,44075,43890,43948,0.02
06.01.2024 02:00:00.000,43948,43990,43805,43885,0.01
06.01.2024 03:00:00.000,43884,44001,43797,43908,0.01
06.01.2024 04:00:00.000,43907,43951,43810,43827,0.01
06.01.2024 05:00:00.000,43827,43848,43568,43674,0.01
06.01.2024 06:00:00.000,43674,43678,43405,43431,0.02
06.01.2024 07:00:00.000,43431,43647,43372,43631,0.01
06.01.2024 08:00:00.000,43643,43702,43539,43683,0.03
06.01.2024 09:00:00.000,43681,43724,43608,43625,0.02
06.01.2024 10:00:00.000,43625,43732,43560,43672,0.02
06.01.2024 11:00:00.000,43671,43682,43594,43637,0.02
06.01.2024 12:00:00.000,43643,43711,43529,43590,0.02
06.01.2024 13:00:00.000,43589,43713,43533,43681,0.02
06.01.2024 14:00:00.000,43683,43889,43678,43792,0.03
06.01.2024 15:00:00.000,43792,43872,43766,43840,0.02
06.01.2024 16:00:00.000,43839,43941,43800,43844,0.03
06.01.2024 17:00:00.000,43844,43975,43825,43939,0.02
06.01.2024 18:00:00.000,43939,44109,43861,43974,0.03
06.01.2024 19:00:00.000,43974,43990,43824,43882,0.02
06.01.2024 20:00:00.000,43880,43939,43671,43810,0.02
06.01.2024 21:00:00.000,43810,43907,43713,43872,0.03
06.01.2024 22:00:00.000,43854,43905,43731,43853,0.02
06.01.2024 23:00:00.000,43848,43940,43726,43930,0.03
07.01.2024 00:00:00.000,43929,44222,43899,44089,0.03
07.01.2024 01:00:00.000,44089,44135,43938,43944,0.03
07.01.2024 02:00:00.000,43947,44059,43828,43907,0.03
07.01.2024 03:00:00.000,43907,44004,43883,43915,0.02
07.01.2024 04:00:00.000,43915,44009,43859,43972,0.02
07.01.2024 05:00:00.000,43972,44036,43831,43858,0.02
07.01.2024 06:00:00.000,43858,44054,43838,43996,0.03
07.01.2024 07:00:00.000,43996,44067,43968,44054,0.02
07.01.2024 08:00:00.000,44054,44140,43982,43994,0.03
07.01.2024 09:00:00.000,43996,44036,43868,43910,0.03
